ubigeo;aet;pet;pr;ro;soil;tmmn;tmmx;vs
200111;4.584264;117.87104;2.37263;0.039871;5.70512;17.462058;30.446197;23.673691
200114;1.917902;116.104305;1.471728;0.005179;1.90085;17.6678;30.445667;25.106525
200115;0.130818;113.718425;0;0;0.296154;17.109266;29.550175;32.823042
200201;58.206434;104.066669;45.872892;1.410199;23.096647;11.760329;24.28433;28.232093
200202;22.971254;108.327418;17.802906;0.582364;11.361604;11.983833;24.783061;29.670291
200203;30.205129;112.549564;23.926622;0.532175;14.844778;15.230463;28.126478;24.34473
200204;36.295416;107.245522;28.028962;0.921181;14.382647;11.26814;23.926723;30.288557
200205;32.360741;110.734109;25.105464;0.637018;14.420478;14.134316;27.051426;26.177471
200206;51.100475;103.750918;40.42592;1.495095;18.379264;10.27998;22.740321;30.872482
200207;14.681273;116.248877;10.476794;0.245129;10.120299;16.078216;29.209877;24.249962
200208;23.351025;110.379783;17.441015;0.517006;11.945632;12.823654;25.704578;28.483079
200209;39.721347;109.140406;30.152527;0.574401;16.413086;13.821233;26.67911;25.888699
200210;11.269565;117.476119;6.687112;0.230848;10.891873;17.696512;30.711538;21.979245
200301;64.312826;95.207336;51.242587;2.019723;25.939585;7.842271;20.1363;33.253599
200302;34.551363;105.31373;25.337858;0.791356;14.820311;12.606622;25.059992;28.017526
200303;71.268319;87.539542;71.432843;2.717873;48.520217;7.742641;19.7479;32.393511
200304;31.739836;106.675706;22.692626;1.109441;14.228271;12.366633;24.848066;28.66041
200305;37.149536;105.525749;27.991628;0.658871;15.397539;12.665346;25.193508;27.963912
200306;32.973163;106.034894;23.899555;1.017719;14.614549;12.804827;25.215733;28.048451
200307;68.354636;97.058874;60.472828;2.628995;29.815696;9.472143;21.793214;30.904036
200308;61.461455;100.784834;49.6816;2.262572;21.254315;9.602097;22.040215;31.376237
200401;2.209234;114.897985;1.535349;0.003374;2.483158;17.458576;30.237582;24.733071
200402;4.13038;115.198611;2.183159;0;4.914454;17.361083;29.957058;23.398559
200403;37.792515;104.85247;29.00047;0.797063;14.641428;11.152254;23.79616;30.093406
200404;1.962396;114.155171;0.68008;0;2.785288;17.449211;29.905393;24.671323
200405;3.393591;115.900786;2.021726;0.001855;4.175947;17.644684;30.315805;23.115948
200406;6.284471;114.957949;3.579116;0.015143;7.000526;16.641843;29.177909;24.314788
200407;10.384844;114.033593;6.882608;0.100269;8.307648;16.905798;29.480674;23.325421
200408;14.631983;112.905498;10.352568;0.245391;9.601625;15.131707;27.962805;25.751067
